0,freeEntry
1,bere
2,mangiare
3,benessere
4,dormire
5,goloso
6,libri
7,romantico
8,museo
9,spiaggia
10,teatro
11,informale
12,raffinato
13,avventura
14,cinema
15,arte
16,cultura
17,folklore
18,cittadinanza
19,vita_notturna
20,concerti
21,jazz
22,musica_classica
23,geek
24,bambini
